Product Code,Product Name,Department,EUDR status,Commodity,Rationale,Evidence
1090,Sweetcorn 326g,CANNED VEG,Out,None,No EUDR commodity in product content,Confirmed
1155,Chopped Tomatoes 400g,CANNED VEG,Out,None,No EUDR commodity in product content,Confirmed
1160,Peeled Tomatoes 400g,CANNED VEG,Out,None,No EUDR commodity in product content,Confirmed
1165,Red Kidney Beans 400g,CANNED VEG,Out,None,No EUDR commodity in product content,Confirmed
1250,Homestead Kitchen Foil 440mmx10M ,Household,Out,None,Plastic/metal — not an EUDR commodity,Confirmed
1280,HS Jumbo Extra Strong Refuse Sacks 8's ,Household,Out,None,Plastic/metal — not an EUDR commodity,Confirmed
1300,Freezer Bags on Roll 12x15 (HOM8),Household,Out,None,Plastic/metal — not an EUDR commodity,Confirmed
2075,Powder Free Vinyl Gloves Clear Med 100's,Kitchen,Out,None,Plastic/metal — not an EUDR commodity,Confirmed
2255,"Heavy Duty Refuse Sacks on a roll 26""x44"" - 2x25's (WH41)",Kitchen,Out,None,Plastic/metal — not an EUDR commodity,Confirmed
2260,Powder Free Vinyl Gloves Clear Small 100's,Kitchen,Out,None,Plastic/metal — not an EUDR commodity,Confirmed
2305,Powder Free Vinyl Gloves Clear Large 100's,Kitchen,Out,None,Plastic/metal — not an EUDR commodity,Confirmed
2310,Powder Free Vinyl Gloves Clear X-Large 100's,Kitchen,Out,None,Plastic/metal — not an EUDR commodity,Confirmed
2385,Powdered Vinyl Gloves Clear Med 100's,Kitchen,Out,None,Plastic/metal — not an EUDR commodity,Confirmed
2395,Powdered Vinyl Gloves Clear Large 100's,Kitchen,Out,None,Plastic/metal — not an EUDR commodity,Confirmed
2400,Powdered Vinyl Gloves Clear X-Large 100's,Kitchen,Out,None,Plastic/metal — not an EUDR commodity,Confirmed
2410,Powdered Vinyl Gloves Blue Med 100's,Kitchen,Out,None,Plastic/metal — not an EUDR commodity,Confirmed
2415,Powdered Vinyl Gloves Blue Large 100's,Kitchen,Out,None,Plastic/metal — not an EUDR commodity,Confirmed
2420,Powdered Vinyl Gloves Blue X-Large 100's,Kitchen,Out,None,Plastic/metal — not an EUDR commodity,Confirmed
2460,White Sugar Sachets 1000's,Seasonings,Out,None,No EUDR commodity in product content,Confirmed
2465,Brown Sugar Sachets 1000's,Seasonings,Out,None,No EUDR commodity in product content,Confirmed
2470,White Sugar Sticks 1000's,Seasonings,Out,None,No EUDR commodity in product content,Confirmed
2475,Brown Sugar Sticks 1000's,Seasonings,Out,None,No EUDR commodity in product content,Confirmed
2480,Salt Sachets 1000's,Seasonings,Out,None,No EUDR commodity in product content,Confirmed
2485,Pepper Sachets 1000's,Seasonings,Out,None,No EUDR commodity in product content,Confirmed
2515,Easi Cook Rice 5kg,Rice,Out,None,No EUDR commodity in product content,Confirmed
2520,Cornflour 3kg,Baking,Out,None,No EUDR commodity in product content,Confirmed
2525,Plain Flour 25kg,Baking,Out,None,No EUDR commodity in product content,Confirmed
2530,Bakers Flour 16kg,Baking,Out,None,No EUDR commodity in product content,Confirmed
2535,Self-Raising Flour 25kg,Baking,Out,None,No EUDR commodity in product content,Confirmed
5245,Firelighters 60's (New),FUELS,In — EUDR,Wood,Flammable substance is wood-based — sponsor domain confirmation (supersedes market proxy),Sponsor confirmed
5250,Firelighters 30's (New),FUELS,In — EUDR,Wood,Flammable substance is wood-based — sponsor domain confirmation (supersedes market proxy),Sponsor confirmed
5930,WHITE HAT COOKING FOIL 440MM X 90M,Kitchen,Out,None,Plastic/metal — not an EUDR commodity,Confirmed
5955,Distilled Vinegar 5lt,Sauces,Out,None,No EUDR commodity in product content,Confirmed
10026,Spaghetti 500g,PASTA,Out,None,No EUDR commodity in product content,Confirmed
10027,Penne Pasta 500g,PASTA,Out,None,No EUDR commodity in product content,Confirmed
10028,Fusilli Pasta 500g,PASTA,Out,None,No EUDR commodity in product content,Confirmed
10037,Plain Flour 2kg - Non Flashed,FLOUR,Out,None,No EUDR commodity in product content,Confirmed
10038,Self Raising Flour 2kg - Non Flashed,FLOUR,Out,None,No EUDR commodity in product content,Confirmed
10039,Wholemeal Flour 2kg - Non Flashed,FLOUR,Out,None,No EUDR commodity in product content,Confirmed
10050,Orange Juice 1ltr ,JUICE,Out,None,No EUDR commodity in product content,Confirmed
10051,Apple Juice 1ltr ,JUICE,Out,None,No EUDR commodity in product content,Confirmed
10052,Cranberry Juice Reduced Sugar 1lt,JUICE,Out,None,No EUDR commodity in product content,Confirmed
10096,Plain Flour 16kg,Baking,Out,None,No EUDR commodity in product content,Confirmed
10105,Cooking Oil 20lt,Oil,Likely out (proxy),Soy? (if veg-blend),Market channel rapeseed-dominant; soy possible,Market proxy — supplier check
