dds_reference,operator_name,operator_address,operator_eori,supplier_name,commodity,hs_code,product_description,quantity_kg,estimated_annual_qty,country_of_production,geolocation_lat,geolocation_lon,production_date,prior_dds_reference,dd_confirmation,submission_date,risk_level,status,status_group
DDS-26-00000,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,wood,4401,Firelogs 700g,18646.4,173632.06680026746,IE,,,2026-03-28,DDS-UP-7912,1,2026-06-30,low,flagged: missing_geo,missing_geo
DDS-25-00001,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,wood,4401,Firelogs 700g,14937.0,182064.6488576349,IE,,,2025-07-31,,1,2025-10-12,low,flagged: missing_geo,missing_geo
DDS-25-00002,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Longford Fuels,wood,4818,Toilet tissue rolls,21263.6,238521.63787273705,IE,54.09048238701957,-8.893369170440454,2025-06-18,DDS-UP-1711,1,2025-09-04,low,valid,valid
DDS-25-00003,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Killeen Paper Mills,wood,4818,Toilet tissue rolls,17762.0,247093.02789985825,IE,53.68591939848333,-6.54364475618958,2025-06-19,DDS-UP-4733,1,2025-08-17,low,valid,valid
DDS-25-00004,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Longford Fuels,soy,2309,Complete dog food (soy),5632.9,50847.24134861036,BR,-10.639769092894694,-53.99766872007775,2024-11-03,DDS-UP-2169,1,2025-01-03,standard,valid,valid
DDS-26-00005,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,wood,4818,Toilet tissue rolls,8444.9,108350.38769759698,IE,,,2025-11-20,,1,2026-02-09,low,flagged: missing_geo,missing_geo
DDS-25-00006,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,wood,4818,Toilet tissue rolls,12731.2,112763.16075341594,IE,54.62872914300516,-6.570897120581994,2025-05-15,,1,2025-07-01,low,valid,valid
DDS-26-00007,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,wood,4818,Toilet tissue rolls,9368.9,102693.40303298477,IE,52.5882248255688,-7.446242029329379,2026-09-17,,1,2026-10-23,low,valid,valid
DDS-26-00008,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,soy,2309,Complete dog food (soy),9849.7,136186.58417588516,BR,-11.520053994832649,-54.45855635951102,2026-02-11,,1,2026-03-14,standard,flagged: missing_prior,missing_prior
DDS-26-00009,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Longford Fuels,cattle,2309,Beef pet food complete,3233.0,42853.795337456206,IE,54.45436535038733,-6.947366601225172,2026-05-22,DDS-UP-8433,1,2026-07-24,low,valid,valid
DDS-26-00010,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,soy,1507,Soybean oil blend,12937.7,145371.5444678721,AR,-33.976954976187024,-65.18076753160689,2025-12-30,DDS-UP-7126,1,2026-04-06,standard,valid,valid
DDS-25-00011,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Longford Fuels,soy,23x9,Complete dog food (soy),6366.6,82104.56187134601,AR,-34.03418287591315,-65.16439682403731,2025-05-13,DDS-UP-2290,1,2025-08-19,standard,flagged: invalid_hs,invalid_hs
DDS-25-00012,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Millbrook Oils,cattle,2309,Beef pet food complete,10866.9,131915.53542758024,IE,53.22584713429619,-7.550589219515168,2025-02-28,DDS-UP-9835,1,2025-05-08,low,valid,valid
DDS-25-00013,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Killeen Paper Mills,wood,4818,Toilet tissue rolls,6005.1,48299.89024313631,IE,52.92026150758788,-6.501157746071164,2025-07-13,DDS-UP-4770,1,2025-11-10,low,valid,valid
DDS-24-00014,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Killeen Paper Mills,wood,4401,Firelogs 700g,7322.7,99684.54077700048,IE,54.516260039018384,-6.621093799238761,2024-04-30,DDS-UP-9834,1,2024-08-11,low,valid,valid
DDS-24-00015,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,wood,4401,Firelogs 700g,11060.8,92081.46000642554,IE,53.21891882883378,-7.97882011554219,2024-06-01,DDS-UP-8651,1,2024-09-22,low,valid,valid
DDS-26-00016,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Killeen Paper Mills,soy,1507,Soybean oil blend,5194.0,50232.58088840053,BR,-10.792136153693194,-55.48209218381511,2026-07-29,DDS-UP-3296,1,2026-09-28,standard,valid,valid
DDS-24-00017,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,soy,2309,Complete dog food (soy),24982.4,338716.4230978135,BR,-9.575933265804892,-53.93209932259488,2024-07-30,,1,2024-09-28,standard,flagged: missing_prior,missing_prior
DDS-24-00018,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,wood,4818,Toilet tissue rolls,552.8,6732.8546991410185,IE,52.44124189759754,-7.996879122351642,2024-04-08,DDS-UP-8454,1,2024-07-18,low,valid,valid
DDS-24-00019,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,cattle,2309,Beef pet food complete,13783.8,149702.14537275682,IE,52.36969360180291,-8.546897304757476,2024-04-12,,1,2024-07-18,low,valid,valid
DDS-26-00020,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,wood,4818,Toilet tissue rolls,21614.6,178070.80080227926,BR,-11.75966560427824,-55.94252511705783,2026-01-31,DDS-UP-5033,1,2026-03-12,standard,valid,valid
DDS-25-00021,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,wood,4818,Toilet tissue rolls,8197.5,80335.35636990212,IE,53.36834814659587,-6.395881226790719,2024-12-18,DDS-UP-3144,1,2025-02-26,low,valid,valid
DDS-26-00022,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Western Hygiene Supplies,soy,2309,Complete dog food (soy),2294.9,23164.842252160397,US,37.52794637065274,-94.63652223352072,2026-01-07,DDS-UP-5345,1,2026-02-14,low,valid,valid
DDS-26-00023,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Millbrook Oils,soy,2309,Complete dog food (soy),24604.4,295429.4404565554,BR,-11.526759502928304,-53.99876513608058,2026-02-25,,1,2026-06-05,standard,flagged: missing_prior,missing_prior
DDS-24-00024,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Western Hygiene Supplies,wood,4818,Toilet tissue rolls,18689.2,229983.18612724656,IE,54.61679001178131,-8.797126656819897,2024-08-31,DDS-UP-5616,1,2024-10-26,low,valid,valid
DDS-26-00025,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Western Hygiene Supplies,cattle,23x9,Beef pet food complete,2761.3,34866.14906314458,IE,53.31622717429396,-8.446636243790318,2026-07-11,DDS-UP-5533,1,2026-10-30,low,flagged: invalid_hs,invalid_hs
DDS-26-00026,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Western Hygiene Supplies,soy,1507,Soybean oil blend,2343.5,26419.54505651885,BR,-10.674493464417449,-54.382997659720026,2025-11-28,,1,2026-02-13,standard,flagged: missing_prior,missing_prior
DDS-26-00027,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Western Hygiene Supplies,wood,4401,Firelogs 700g,22523.7,227986.50877481568,IE,52.18233655784641,-8.2752249502096,2026-07-15,DDS-UP-5088,1,2026-10-24,low,valid,valid
DDS-26-00028,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Killeen Paper Mills,soy,2309,Complete dog food (soy),24417.0,198967.25159080845,BR,-10.138015469547861,-56.03633998500339,2026-09-03,,1,2026-11-14,standard,flagged: missing_prior,missing_prior
DDS-25-00029,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Killeen Paper Mills,cattle,2309,Beef pet food complete,19790.7,184738.31384298587,IE,53.809721387864585,-6.9948273835163715,2025-01-21,DDS-UP-1634,1,2025-04-19,low,valid,valid
DDS-26-00030,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,wood,4818,Toilet tissue rolls,8542.4,82645.58402696387,SE,61.21396910758902,14.168770641617426,2026-01-11,,1,2026-05-03,low,flagged: missing_prior,missing_prior
DDS-24-00031,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Longford Fuels,wood,4401,Firelogs 700g,4874.9,42169.909464501965,IE,54.33098348981624,-8.206550395356778,2024-02-12,,1,2024-05-07,low,valid,valid
DDS-24-00032,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Millbrook Oils,wood,4818,Toilet tissue rolls,5156.9,62507.521725541126,IE,53.10918165161182,-6.24729245205023,2024-07-04,DDS-UP-8144,1,2024-10-27,low,valid,valid
DDS-26-00033,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,wood,4818,Toilet tissue rolls,21276.4,209693.98512209713,IE,54.64662345791394,-6.437687431345879,2026-01-12,,1,2026-04-04,low,valid,valid
DDS-26-00034,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,wood,4818,Toilet tissue rolls,17094.3,167621.56464471685,IE,53.46323743300038,-8.624479721029557,2026-01-27,,1,2026-05-07,low,valid,valid
DDS-26-00035,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Longford Fuels,soy,2309,Complete dog food (soy),11892.2,151773.1606794904,BR,-11.369451945352074,-54.14272351756726,2026-01-30,DDS-UP-4501,1,2026-03-22,standard,valid,valid
